method,task,budget,n,aubc_mean,aubc_std,hv_final_mean,hv_final_std,valid_count_mean,valid_count_std,valid_yield_per_100_calls_mean,valid_yield_per_100_calls_std
full,bi_cvrp,25,5,13399.392458098759,3885.414059760705,18864.473998623725,2980.5222424311787,4.2,0.4472135954999579,16.8,1.7888543819998317
mpage_orig,bi_cvrp,25,5,7322.699791038945,3009.5395090233865,14386.82140386351,5496.103660591526,5.2,1.3038404810405297,20.8,5.21536192416212
dense_reward,bi_cvrp,25,5,11821.465305373807,2434.51937894219,16223.939464623472,2010.6263830397163,4.2,0.4472135954999579,16.8,1.7888543819998317
hybrid_reward,bi_cvrp,25,5,11064.22175215596,3538.3546162575085,16242.729783579867,2114.4538812702303,4.4,0.8944271909999159,17.6,3.5777087639996634
