method,metric,n_cells,mean_normalized_score,median_normalized_score,mean_rank,median_rank,best_cells,top2_cells,worst_cells
full,aubc,16,95.36255923251231,97.54136373180283,2.25,2.0,5,10,3
full,hv_final,16,97.4572878409135,99.71682872384001,2.1875,2.5,6,8,1
no_budget_anneal,aubc,16,88.85674180101594,94.34799421133732,3.1875,3.5,2,3,8
no_budget_anneal,hv_final,16,95.15884556418091,98.55085960159158,2.9375,3.0,1,6,6
no_ph,aubc,16,91.09001975339187,98.01146028099416,2.5,3.0,4,7,3
no_ph,hv_final,16,93.13463097537716,99.46960970645807,2.625,3.0,5,7,6
no_diversity,aubc,16,95.59823589097564,98.55797537205493,2.0625,2.0,5,12,2
no_diversity,hv_final,16,97.81812181015526,98.98412355819514,2.25,2.0,4,11,3
