metric,row_method,full_wins,full_ties,full_losses,full,no_budget_anneal_wins,no_budget_anneal_ties,no_budget_anneal_losses,no_budget_anneal,no_ph_wins,no_ph_ties,no_ph_losses,no_ph,no_diversity_wins,no_diversity_ties,no_diversity_losses,no_diversity
aubc,full,0,16,0,0/16,13,0,3,13/16,8,0,8,8/16,7,0,9,7/16
aubc,no_budget_anneal,3,0,13,3/16,0,16,0,0/16,6,0,10,6/16,4,0,12,4/16
aubc,no_ph,8,0,8,8/16,10,0,6,10/16,0,16,0,0/16,6,0,10,6/16
aubc,no_diversity,9,0,7,9/16,12,0,4,12/16,10,0,6,10/16,0,16,0,0/16
hv_final,full,0,16,0,0/16,11,0,5,11/16,10,0,6,10/16,8,0,8,8/16
hv_final,no_budget_anneal,5,0,11,5/16,0,16,0,0/16,7,0,9,7/16,5,0,11,5/16
hv_final,no_ph,6,0,10,6/16,9,0,7,9/16,0,16,0,0/16,7,0,9,7/16
hv_final,no_diversity,8,0,8,8/16,11,0,5,11/16,9,0,7,9/16,0,16,0,0/16
