method,task,budget,metric,value,rank,normalized_score,is_best,is_top2
no_diversity,bi_cvrp,50,aubc,13241.787870600376,3.0,92.20300418405714,False,False
full,bi_cvrp,50,hv_final,17669.63358871531,3.0,96.33887832005064,False,False
no_budget_anneal,bi_cvrp,50,hv_final,16205.562683231616,4.0,88.35642932883898,False,False
no_ph,bi_cvrp,50,hv_final,18341.12447314824,1.0,100.0,True,True
no_diversity,bi_cvrp,50,hv_final,18001.35891331448,2.0,98.14752056052407,False,True
full,bi_cvrp,100,aubc,14713.253548041008,3.0,95.87919579405784,False,False
no_budget_anneal,bi_cvrp,100,aubc,13490.51759764513,4.0,87.91121378316882,False,False
no_ph,bi_cvrp,100,aubc,15164.450087740632,2.0,98.81942660230226,False,True
no_diversity,bi_cvrp,100,aubc,15345.616352106355,1.0,100.0,True,True
full,bi_cvrp,100,hv_final,18874.829633509045,1.0,100.0,True,True
no_budget_anneal,bi_cvrp,100,hv_final,16282.409238877346,4.0,86.26519844168925,False,False
no_ph,bi_cvrp,100,hv_final,18395.476760531947,2.0,97.46035920702516,False,True
no_diversity,bi_cvrp,100,hv_final,18262.2827589545,3.0,96.75468925310419,False,False
full,bi_cvrp,200,aubc,15707.164092901405,4.0,93.64466210829083,False,False
no_budget_anneal,bi_cvrp,200,aubc,16045.35282491172,3.0,95.66091210419238,False,False
no_ph,bi_cvrp,200,aubc,16773.15475252355,1.0,100.0,True,True
no_diversity,bi_cvrp,200,aubc,16174.835423731138,2.0,96.43287540346341,False,True
full,bi_cvrp,200,hv_final,19571.232765715155,3.0,98.90738269147957,False,False
no_budget_anneal,bi_cvrp,200,hv_final,19622.51631464279,2.0,99.16655500117939,False,True
no_ph,bi_cvrp,200,hv_final,18965.83607830084,4.0,95.84788191505756,False,False
no_diversity,bi_cvrp,200,hv_final,19787.433691136514,1.0,100.0,True,True
full,bi_kp,25,aubc,23304.445221531994,1.0,100.0,True,True
no_budget_anneal,bi_kp,25,aubc,15705.220672243851,3.0,67.39152347524288,False,False
no_ph,bi_kp,25,aubc,14427.184336197066,4.0,61.907435251310595,False,False
no_diversity,bi_kp,25,aubc,22619.866403908833,2.0,97.06245391763007,False,True
full,bi_kp,25,hv_final,28805.20819393613,1.0,100.0,True,True
no_budget_anneal,bi_kp,25,hv_final,25345.987562658724,3.0,87.99098896287228,False,False
no_ph,bi_kp,25,hv_final,16726.012948825493,4.0,58.06593320282454,False,False
no_diversity,bi_kp,25,hv_final,28193.574193866407,2.0,97.87665481897652,False,True
full,bi_kp,50,aubc,30595.081045775918,1.0,100.0,True,True
no_budget_anneal,bi_kp,50,aubc,27407.58222242534,2.0,89.58166242939024,False,True
no_ph,bi_kp,50,aubc,22652.938966501217,3.0,74.04111442819261,False,False
no_diversity,bi_kp,50,aubc,21731.68982272723,4.0,71.03001227619757,False,False
full,bi_kp,50,hv_final,35331.15958226822,1.0,100.0,True,True
no_budget_anneal,bi_kp,50,hv_final,34235.9448168639,2.0,96.9001448626272,False,True
no_ph,bi_kp,50,hv_final,28014.15370154762,4.0,79.29021869864465,False,False
no_diversity,bi_kp,50,hv_final,31265.1790921882,3.0,88.49180004802155,False,False
full,bi_kp,100,aubc,28990.40519447092,3.0,85.30798058885341,False,False
no_budget_anneal,bi_kp,100,aubc,14953.240982849546,4.0,44.00182691301831,False,False
no_ph,bi_kp,100,aubc,29303.046265775596,2.0,86.22796698653316,False,True
no_diversity,bi_kp,100,aubc,33983.227588274305,1.0,100.0,True,True
full,bi_kp,100,hv_final,35728.23221904697,2.0,92.29065521774498,False,True
no_budget_anneal,bi_kp,100,hv_final,35264.91676489661,3.0,91.09385134080287,False,False
no_ph,bi_kp,100,hv_final,33689.80884436537,4.0,87.02514340324666,False,False
no_diversity,bi_kp,100,hv_final,38712.73005349452,1.0,100.0,True,True
full,bi_kp,200,aubc,24189.08308982593,4.0,71.88532238144367,False,False
no_budget_anneal,bi_kp,200,aubc,33649.543868596535,1.0,100.0,True,True
no_ph,bi_kp,200,aubc,25609.470824134067,3.0,76.10644270288051,False,False
no_diversity,bi_kp,200,aubc,27984.844917759743,2.0,83.16559959042009,False,True
full,bi_kp,200,hv_final,30175.451630595526,4.0,77.26072709298579,False,False
no_budget_anneal,bi_kp,200,hv_final,39056.649821944324,1.0,100.0,True,True
no_ph,bi_kp,200,hv_final,35704.25914997606,3.0,91.41659438981196,False,False
no_diversity,bi_kp,200,hv_final,36182.45445393145,2.0,92.64095773417314,False,True
