ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
no_ph,bi_kp,25,2028,0.0,25.0,25.0,562.0627272506149,2,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_kp/B25/seed2028/20260625_073708_BIKPEvaluation_BMAB-no_ph,2,2,0,0.0,8.0,25,0,23,0.92
no_ph,bi_kp,25,2029,32290.687395378947,25.0,25.0,36693.96294929426,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_kp/B25/seed2029/20260625_074424_BIKPEvaluation_BMAB-no_ph,4,4,0,0.0,16.0,21,4,17,0.8095238095238095
no_ph,bi_kp,50,2025,20685.03602555739,50.0,50.0,27952.751385888372,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_kp/B50/seed2025/20260625_074911_BIKPEvaluation_BMAB-no_ph,9,9,0,0.0,18.0,46,4,37,0.8043478260869565
no_ph,bi_kp,50,2026,7134.5477132077085,50.0,50.0,8365.364349697307,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_kp/B50/seed2026/20260625_081605_BIKPEvaluation_BMAB-no_ph,9,9,0,0.0,18.0,44,6,35,0.7954545454545454
no_ph,bi_kp,50,2027,31995.33150233644,50.0,50.0,37723.60804396781,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_kp/B50/seed2027/20260625_082633_BIKPEvaluation_BMAB-no_ph,8,8,0,0.0,16.0,44,6,36,0.8181818181818182
no_ph,bi_kp,50,2028,29661.515460782186,50.0,50.0,35917.31798056136,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_kp/B50/seed2028/20260625_084143_BIKPEvaluation_BMAB-no_ph,13,13,0,0.0,26.0,44,6,31,0.7045454545454546
no_ph,bi_kp,50,2029,23788.264130622363,50.0,50.0,30111.72674762325,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_kp/B50/seed2029/20260625_085748_BIKPEvaluation_BMAB-no_ph,6,6,0,0.0,12.0,46,4,40,0.8695652173913043
no_ph,bi_tsp,100,2025,14038.530934046523,100.0,100.0,15097.345290974166,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B100/seed2025/20260623_153631_BITSPEvaluation_BMAB-no_ph,19,19,0,0.0,19.0,90,10,71,0.7888888888888889
no_ph,bi_tsp,100,2026,14200.507089769235,100.0,100.0,15113.953799687219,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B100/seed2026/20260623_155525_BITSPEvaluation_BMAB-no_ph,30,30,0,0.0,30.0,90,10,60,0.6666666666666666
no_ph,bi_tsp,100,2027,13605.778629783397,100.0,100.0,15187.902519347956,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/no_ph/bi_tsp/B100/seed2027/20260623_161150_BITSPEvaluation_BMAB-no_ph,20,20,0,0.0,20.0,91,9,71,0.7802197802197802
