method,baseline,metric,wins,losses,ties,mean_delta_pct,median_delta_pct,worst_task,worst_task_delta_pct,delta_B25_pct,delta_B50_pct,delta_B100_pct,delta_B200_pct,delta_bi_tsp_pct,delta_tri_tsp_pct,delta_bi_cvrp_pct,delta_bi_kp_pct
no_budget_anneal,full,aubc,3,13,0,-6.30894000740056,-2.91542843865108,bi_kp,-13.08409807877086,-15.34091889838431,-6.09801148201975,-14.493051527267228,10.696221878069048,-1.3587423914426604,-1.175856067503303,-9.617063491885418,-13.08409807877086
no_budget_anneal,full,hv_final,5,11,0,-1.9069191741260594,-0.3703022363606978,bi_cvrp,-10.338965263032373,-8.308436540745975,-2.8365341242932773,-3.9116101125003855,7.428904081035401,-0.39117050305117473,-0.15409642098014042,-10.338965263032373,3.2565554905594514
no_ph,full,aubc,8,8,0,-4.1192708855074445,-0.010386876996160144,bi_kp,-14.275250278803181,-15.732072317012017,-5.183224823265345,1.0310637684145973,3.4071498298329868,0.5336396078311378,-0.9401516399718562,-1.7953212310858782,-14.275250278803181
no_ph,full,hv_final,6,10,0,-4.078290641225103,-0.2233434972469306,bi_kp,-12.50675063553644,-14.41900879519549,-3.917845379332202,-1.7056940500566165,3.7293856596838957,1.1272470667572447,-0.09008691476193043,-4.843572081359287,-12.50675063553644
no_diversity,full,aubc,9,7,0,0.719736117345001,0.3068425241835482,bi_tsp,-0.3535496188338788,0.6359366515688664,-7.688996282423297,4.8717077889211335,5.060296311313301,-0.3535496188338788,2.573977350560816,0.40680715313341764,0.2517095845196493
no_diversity,full,hv_final,8,8,0,0.6905012164886585,0.06361745982659817,bi_cvrp,-1.1882609708835812,-1.3225564789560578,-2.47380393116694,1.2356490525239348,5.322716223553697,0.397323292500365,-0.104233998633399,-1.1882609708835812,3.657176542971249
