ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
full,bi_kp,100,2028,7644.3081287534,8219.686159949893,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2028/20260525_040204_BIKPEvaluation_BMAB-full
full,bi_kp,100,2029,33645.50103105158,36373.51462816387,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B100/seed2029/20260525_042614_BIKPEvaluation_BMAB-full
full,bi_kp,200,2025,30604.628744954316,32972.121647564636,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2025/20260525_045401_BIKPEvaluation_BMAB-full
full,bi_kp,200,2026,28728.467589165168,31730.827940062976,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2026/20260525_054652_BIKPEvaluation_BMAB-full
full,bi_kp,200,2027,37607.96231315469,39615.24668364136,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2027/20260525_064128_BIKPEvaluation_BMAB-full
full,bi_kp,200,2028,35798.30895980646,38009.257360188305,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2028/20260525_074442_BIKPEvaluation_BMAB-full
full,bi_kp,200,2029,15478.143022368993,16292.810971670842,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B200/seed2029/20260525_225904_BIKPEvaluation_BMAB-full
full,bi_kp,25,2025,28611.304449234838,33268.95866190097,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2025/20260525_010054_BIKPEvaluation_BMAB-full
full,bi_kp,25,2026,2196.7880830037607,2496.3500943224553,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2026/20260525_010921_BIKPEvaluation_BMAB-full
full,bi_kp,25,2027,6626.963352512035,7889.242086323851,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2027/20260525_011535_BIKPEvaluation_BMAB-full
full,bi_kp,25,2028,29020.707743751438,32978.07698153573,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2028/20260525_012333_BIKPEvaluation_BMAB-full
full,bi_kp,25,2029,13581.152563856147,16976.440704820183,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B25/seed2029/20260525_012932_BIKPEvaluation_BMAB-full
full,bi_kp,50,2025,30057.857556652696,33030.612699618345,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2025/20260525_013813_BIKPEvaluation_BMAB-full
full,bi_kp,50,2026,22676.958042836908,27321.63619618904,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2026/20260525_014927_BIKPEvaluation_BMAB-full
full,bi_kp,50,2027,34463.344381507195,39613.03951897379,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2027/20260525_020836_BIKPEvaluation_BMAB-full
full,bi_kp,50,2028,36393.73486903158,40891.83693149615,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2028/20260525_022007_BIKPEvaluation_BMAB-full
full,bi_kp,50,2029,9274.503931127112,10420.790933850689,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_kp/B50/seed2029/20260525_022944_BIKPEvaluation_BMAB-full
full,bi_tsp,100,2025,13932.345022905201,15146.915424690169,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2025/20260524_001519_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2026,13624.770713770302,15090.048482109447,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2026/20260524_003243_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2027,13819.887443848946,15087.354409789317,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2027/20260524_004756_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2028,13974.686237881448,15013.23571045276,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2028/20260524_010431_BITSPEvaluation_BMAB-full
full,bi_tsp,100,2029,13388.793899453589,14968.80119264188,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B100/seed2029/20260524_011928_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2025,14410.706238604653,15331.857362657063,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2025/20260524_013317_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2026,14593.369046464124,15132.622674125534,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2026/20260524_015856_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2027,14729.14053618899,15264.129676946215,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2027/20260524_022430_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2028,14263.780353739136,15255.43628569975,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2028/20260524_025018_BITSPEvaluation_BMAB-full
full,bi_tsp,200,2029,14361.918910141254,14890.386347810232,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B200/seed2029/20260524_183254_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2025,12302.944871554813,14646.362942327158,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2025/20260523_231931_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2026,12636.45248828009,15043.395819381061,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2026/20260523_232300_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2027,12563.912250080051,13959.902500088947,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2027/20260523_232643_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2028,13282.889842374232,15094.19300269799,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2028/20260523_232947_BITSPEvaluation_BMAB-full
full,bi_tsp,25,2029,12967.817106924876,15078.857101075439,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B25/seed2029/20260523_233310_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2025,13041.64516717303,14839.0814488819,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2025/20260523_233626_BITSPEvaluation_BMAB-full
full,bi_tsp,50,2026,12753.339524601453,14492.49330351833,6,50.0,50.0,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/full/bi_tsp/B50/seed2026/20260523_234359_BITSPEvaluation_BMAB-full
