comparator,task,budget,metric,n_seeds,full_mean,comparator_mean,delta_mean,delta_std,delta_pct_from_means,paired_delta_pct_mean,wins,ties,losses,p_value
full_old,bi_tsp,25,aubc,5,12428.342497742873,12750.803311842814,-322.4608140999404,865.7961457600901,-2.5289450885062514,-2.4101993453232824,2,0,3,0.3125
full_old,bi_tsp,25,hv_final,5,14717.520849463262,14764.542273114119,-47.0214236508571,390.99400445139537,-0.3184753227093329,-0.281210586837195,3,0,2,1.0
full_old,bi_tsp,50,aubc,5,12931.550050176418,12890.581194315117,40.968855861300106,177.9887490599382,0.317820083080278,0.32836056567325134,3,0,2,0.625
full_old,bi_tsp,50,hv_final,5,14810.352873583684,14558.456467250426,251.89640633325726,264.95254744699196,1.730241161897239,1.7330701297934148,4,0,1,0.125
full_old,bi_tsp,100,aubc,5,14030.133982536267,13748.096663571898,282.03731896436875,322.3275150076529,2.051464474436515,2.0813224256345952,3,0,2,0.3125
full_old,bi_tsp,100,hv_final,5,15023.614726933849,15061.271043936717,-37.656317002866125,135.0525346691098,-0.2500208441440055,-0.24694111025967524,2,0,3,0.625
full_old,bi_tsp,200,aubc,5,14331.861838455114,14471.783017027632,-139.9211785725187,361.17365039083467,-0.9668551443031248,-0.9498549094764664,1,0,4,0.4375
full_old,bi_tsp,200,hv_final,5,15198.49961538538,15174.886469447758,23.613145937619993,233.0610096276745,0.15560673870715913,0.1684794054573513,2,0,3,0.8125
full_old,tri_tsp,25,aubc,5,144450.15885480464,144482.85132110692,-32.69246630227135,21372.15269283622,-0.022627229462424125,0.52736095777248,3,0,2,0.8125
full_old,tri_tsp,25,hv_final,5,206791.18680863173,206382.30678867493,408.8800199567806,992.0555937006553,0.19811776809697257,0.19937905278154755,3,0,2,0.625
full_old,tri_tsp,50,aubc,5,160956.92304160612,159646.02359464797,1310.8994469581405,22916.18663158299,0.821128780687097,1.7678323860217808,3,0,2,1.0
full_old,tri_tsp,50,hv_final,5,207540.11827129213,207330.75731613225,209.36095515988418,1091.5935763294208,0.10097920726765963,0.10194728500611427,2,0,3,1.0
full_old,tri_tsp,100,aubc,5,179784.92002361311,184626.4798816275,-4841.559858014376,13273.880880464203,-2.622353987964532,-2.4531639776025616,2,0,3,0.625
full_old,tri_tsp,100,hv_final,5,207927.8098565409,206978.00380559993,949.806050940929,1084.8756310751805,0.4588922655921701,0.4601962617676847,4,0,1,0.1875
full_old,tri_tsp,200,aubc,5,188432.1466497327,195125.27178561568,-6693.125135882979,3616.2177217913136,-3.4301682578752435,-3.4317550148323783,0,0,5,0.0625
full_old,tri_tsp,200,hv_final,5,207635.00967666012,207247.7824727983,387.2272038617928,596.4864399449416,0.18684262829815612,0.18726637945746916,4,0,1,0.1875
full_old,bi_cvrp,25,aubc,5,13399.39245809876,11679.829269406231,1719.5631886925282,4257.344002995025,14.722502778329961,16.051125045645204,3,0,2,0.4375
full_old,bi_cvrp,25,hv_final,5,18864.473998623725,16264.426902738316,2600.0470958854085,4567.722758925759,15.986097213469353,18.847158964689072,4,0,1,0.3125
full_old,bi_cvrp,50,aubc,5,13893.797438292266,13318.344835045384,575.4526032468846,2164.848979481631,4.320751642746612,5.9351407233085895,4,0,1,0.625
full_old,bi_cvrp,50,hv_final,5,17669.63358871531,17393.589249027504,276.04433968780756,2691.6233043347006,1.5870464441560816,3.1472508565733945,1,0,4,0.625
full_old,bi_cvrp,100,aubc,5,14713.25354804101,15059.802432771237,-346.5488847302302,1827.7349631165355,-2.3011516006087307,-1.4111208518470604,2,0,3,0.8125
full_old,bi_cvrp,100,hv_final,5,18874.829633509045,17204.982887788123,1669.8467457209194,2444.91533206888,9.705599573168765,10.723794402535324,3,0,2,0.3125
full_old,bi_cvrp,200,aubc,5,15707.164092901405,16372.148878227978,-664.9847853265717,2711.750388548502,-4.0616829853708625,-2.6928594929872434,4,0,1,0.625
full_old,bi_cvrp,200,hv_final,5,19571.232765715155,18164.23681442562,1406.9959512895318,4567.276807946079,7.7459678909940655,9.60032633417522,4,0,1,0.625
full_old,bi_kp,25,aubc,5,23304.445221531994,16007.383238471642,7297.061983060351,22534.518680706966,45.585601808563084,325.03383301359054,3,0,2,0.625
full_old,bi_kp,25,hv_final,5,28805.20819393613,18721.813705780638,10083.39448815549,21730.74211459146,53.859068606382365,336.1425820933606,3,0,2,0.4375
full_old,bi_kp,50,aubc,5,30595.081045775918,26573.2797562311,4021.801289544819,14111.027192269354,15.134756892783475,54.144175687700695,3,0,2,0.625
full_old,bi_kp,50,hv_final,5,35331.15958226822,30255.583256025602,5075.576326242616,14392.917645720916,16.775668422230083,53.87082815873789,3,0,2,0.625
