ablation,task,budget,seed,aubc,consumed_budget,total_budget,hv_final,pareto_size,n_calls,run_dir,sample_count,valid_count,null_score_count,recorded_null_rate,valid_yield_per_100_calls,generation_attempts,non_generation_calls,unregistered_generation_count,invalid_null_proxy_rate
dense_reward,bi_cvrp,50,2027,13637.439091198945,50.0,50.0,17046.79886399868,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2027/20260618_060343_BICVRPEvaluation_BMAB-dense_reward,6,6,0,0.0,12.0,45,5,39,0.8666666666666667
dense_reward,bi_cvrp,50,2028,14030.005611656983,50.0,50.0,17109.7629410451,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2028/20260618_061437_BICVRPEvaluation_BMAB-dense_reward,7,7,0,0.0,14.000000000000002,45,5,38,0.8444444444444444
dense_reward,bi_cvrp,50,2029,14571.966192495087,50.0,50.0,19173.639726967216,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_cvrp/B50/seed2029/20260618_062513_BICVRPEvaluation_BMAB-dense_reward,6,6,0,0.0,12.0,46,4,40,0.8695652173913043
dense_reward,bi_kp,100,2025,15066.292347703287,100.0,100.0,29826.45383224025,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2025/20260618_150320_BIKPEvaluation_BMAB-dense_reward,12,12,0,0.0,12.0,91,9,79,0.8681318681318682
dense_reward,bi_kp,100,2026,35875.23694568177,100.0,100.0,39207.9092302533,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2026/20260618_152933_BIKPEvaluation_BMAB-dense_reward,11,11,0,0.0,11.0,90,10,79,0.8777777777777778
dense_reward,bi_kp,100,2027,30736.01456507377,100.0,100.0,37616.48568064467,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2027/20260618_155633_BIKPEvaluation_BMAB-dense_reward,15,15,0,0.0,15.0,90,10,75,0.8333333333333334
dense_reward,bi_kp,100,2028,36919.18154515437,100.0,100.0,38862.29636332039,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2028/20260618_162544_BIKPEvaluation_BMAB-dense_reward,14,14,0,0.0,14.000000000000002,90,10,76,0.8444444444444444
dense_reward,bi_kp,100,2029,32045.739283709023,100.0,100.0,38659.86527392178,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2029/20260618_164810_BIKPEvaluation_BMAB-dense_reward,19,19,0,0.0,19.0,91,9,72,0.7912087912087912
dense_reward,bi_kp,200,2025,36903.892161316646,200.0,200.0,39824.474946096256,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2025/20260618_171851_BIKPEvaluation_BMAB-dense_reward,26,26,0,0.0,13.0,183,17,157,0.8579234972677595
dense_reward,bi_kp,200,2026,33124.19621956897,200.0,200.0,39979.906847219914,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2026/20260619_015143_BIKPEvaluation_BMAB-dense_reward,22,22,0,0.0,11.0,184,16,162,0.8804347826086957
dense_reward,bi_kp,200,2027,33939.442280719806,200.0,200.0,38165.232668283104,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2027/20260619_024727_BIKPEvaluation_BMAB-dense_reward,20,20,0,0.0,10.0,184,16,164,0.8913043478260869
dense_reward,bi_kp,200,2028,27588.251796586337,200.0,200.0,32069.005654720364,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2028/20260619_034213_BIKPEvaluation_BMAB-dense_reward,23,23,0,0.0,11.5,184,16,161,0.875
dense_reward,bi_kp,200,2029,30420.084528823016,200.0,200.0,33168.60060032412,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2029/20260619_043949_BIKPEvaluation_BMAB-dense_reward,29,29,0,0.0,14.499999999999998,183,17,154,0.8415300546448088
dense_reward,bi_kp,25,2025,24962.3923585594,25.0,25.0,31202.99044819925,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2025/20260618_124854_BIKPEvaluation_BMAB-dense_reward,6,6,0,0.0,24.0,22,3,16,0.7272727272727273
dense_reward,bi_kp,25,2026,25865.050693087964,25.0,25.0,32331.313366359955,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2026/20260618_130313_BIKPEvaluation_BMAB-dense_reward,4,4,0,0.0,16.0,22,3,18,0.8181818181818182
dense_reward,bi_kp,25,2027,26487.92721462508,25.0,25.0,31533.246684077472,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2027/20260618_131634_BIKPEvaluation_BMAB-dense_reward,4,4,0,0.0,16.0,21,4,17,0.8095238095238095
dense_reward,bi_kp,25,2028,23899.723007233642,25.0,25.0,26555.247785815158,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2028/20260618_132142_BIKPEvaluation_BMAB-dense_reward,5,5,0,0.0,20.0,21,4,16,0.7619047619047619
dense_reward,bi_kp,25,2029,5195.77219738122,25.0,25.0,6836.54236497529,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2029/20260618_132800_BIKPEvaluation_BMAB-dense_reward,4,4,0,0.0,16.0,22,3,18,0.8181818181818182
dense_reward,bi_kp,50,2025,28396.632557432615,50.0,50.0,37363.99020714818,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2025/20260618_133756_BIKPEvaluation_BMAB-dense_reward,6,6,0,0.0,12.0,46,4,40,0.8695652173913043
dense_reward,bi_kp,50,2026,10341.829664563904,50.0,50.0,13430.947616316758,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2026/20260618_135214_BIKPEvaluation_BMAB-dense_reward,8,8,0,0.0,16.0,46,4,38,0.8260869565217391
dense_reward,bi_kp,50,2027,12853.050914261157,50.0,50.0,31403.547186005708,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2027/20260618_141510_BIKPEvaluation_BMAB-dense_reward,10,10,0,0.0,20.0,45,5,35,0.7777777777777778
dense_reward,bi_kp,50,2028,26737.64187495004,50.0,50.0,37003.31658090265,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2028/20260618_143318_BIKPEvaluation_BMAB-dense_reward,8,8,0,0.0,16.0,45,5,37,0.8222222222222222
dense_reward,bi_kp,50,2029,30914.999977615862,50.0,50.0,37246.98792483839,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B50/seed2029/20260618_144824_BIKPEvaluation_BMAB-dense_reward,6,6,0,0.0,12.0,45,5,39,0.8666666666666667
dense_reward,bi_tsp,100,2025,13711.602888211439,100.0,100.0,14972.278799418124,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2025/20260617_130412_BITSPEvaluation_BMAB-dense_reward,23,23,0,0.0,23.0,90,10,67,0.7444444444444445
dense_reward,bi_tsp,100,2026,13246.83535338595,100.0,100.0,14241.610772466325,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2026/20260617_131810_BITSPEvaluation_BMAB-dense_reward,20,20,0,0.0,20.0,90,10,70,0.7777777777777778
dense_reward,bi_tsp,100,2027,12929.543428777675,100.0,100.0,14961.316176629802,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2027/20260617_133122_BITSPEvaluation_BMAB-dense_reward,19,19,0,0.0,19.0,92,8,73,0.7934782608695652
dense_reward,bi_tsp,100,2028,13725.518540414116,100.0,100.0,15035.488813101614,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2028/20260617_134334_BITSPEvaluation_BMAB-dense_reward,33,33,0,0.0,33.0,90,10,57,0.6333333333333333
dense_reward,bi_tsp,100,2029,14013.234313378718,100.0,100.0,14990.120738542351,8,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B100/seed2029/20260617_135539_BITSPEvaluation_BMAB-dense_reward,24,24,0,0.0,24.0,90,10,66,0.7333333333333333
dense_reward,bi_tsp,200,2025,14060.845705673388,200.0,200.0,15104.124401757512,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2025/20260617_140746_BITSPEvaluation_BMAB-dense_reward,25,25,0,0.0,12.5,184,16,159,0.8641304347826086
dense_reward,bi_tsp,200,2026,13892.321874678542,200.0,200.0,15452.465736428698,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2026/20260617_143822_BITSPEvaluation_BMAB-dense_reward,41,41,0,0.0,20.5,184,16,143,0.7771739130434783
dense_reward,bi_tsp,200,2027,14570.7073860803,200.0,200.0,15265.087610142253,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2027/20260617_151047_BITSPEvaluation_BMAB-dense_reward,42,42,0,0.0,21.0,183,17,141,0.7704918032786885
dense_reward,bi_tsp,200,2028,14233.890298708584,200.0,200.0,15111.253378289313,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2028/20260617_154550_BITSPEvaluation_BMAB-dense_reward,39,39,0,0.0,19.5,184,16,145,0.7880434782608695
dense_reward,bi_tsp,200,2029,14536.156400545839,200.0,200.0,15203.9620006847,10,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B200/seed2029/20260617_161351_BITSPEvaluation_BMAB-dense_reward,54,54,0,0.0,27.0,183,17,129,0.7049180327868853
dense_reward,bi_tsp,25,2025,12010.837202807923,25.0,25.0,14647.635057547972,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2025/20260617_121009_BITSPEvaluation_BMAB-dense_reward,5,5,0,0.0,20.0,22,3,17,0.7727272727272727
dense_reward,bi_tsp,25,2026,12335.423250290218,25.0,25.0,15043.199085719782,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2026/20260617_121324_BITSPEvaluation_BMAB-dense_reward,6,6,0,0.0,24.0,22,3,16,0.7272727272727273
dense_reward,bi_tsp,25,2027,11297.014967557683,25.0,25.0,14122.847012452077,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2027/20260617_121743_BITSPEvaluation_BMAB-dense_reward,6,6,0,0.0,24.0,22,3,16,0.7272727272727273
dense_reward,bi_tsp,25,2028,12604.658861599266,25.0,25.0,15009.239369284833,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2028/20260617_122208_BITSPEvaluation_BMAB-dense_reward,7,7,0,0.0,28.000000000000004,21,4,14,0.6666666666666666
dense_reward,bi_tsp,25,2029,12300.874882921076,25.0,25.0,15013.212178364589,4,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B25/seed2029/20260617_122534_BITSPEvaluation_BMAB-dense_reward,8,8,0,0.0,32.0,22,3,14,0.6363636363636364
dense_reward,bi_tsp,50,2025,12842.8731375605,50.0,50.0,14597.38533516372,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2025/20260617_122908_BITSPEvaluation_BMAB-dense_reward,12,12,0,0.0,24.0,44,6,32,0.7272727272727273
dense_reward,bi_tsp,50,2026,13060.457125886285,50.0,50.0,14352.305793915144,6,50,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_tsp/B50/seed2026/20260617_123627_BITSPEvaluation_BMAB-dense_reward,9,9,0,0.0,18.0,44,6,35,0.7954545454545454
