comparator,metric,n_cells,positive_cells,negative_cells,seed_wins,seed_ties,seed_losses,mean_delta_pct,median_delta_pct,min_delta_pct,max_delta_pct
dense_reward,aubc,16,9,7,41,0,39,3.5137166375155733,0.2714260743689412,-25.331212791825607,44.44784907902204
dense_reward,hv_final,16,10,6,48,0,32,1.7392662032382995,0.2715422232327569,-17.646663945450612,13.372872579732032
full_old,aubc,16,8,8,39,0,41,3.379932267415929,0.14759642680892693,-18.400049403407838,45.585601808563084
full_old,hv_final,16,13,3,45,0,35,7.651482828905396,1.0229693548741259,-4.881473668905856,53.859068606382365
hybrid_reward,aubc,16,10,6,46,0,34,0.460133552272733,0.9171239954733457,-28.17083371058694,21.10560289057628
hybrid_reward,hv_final,16,11,5,44,0,36,0.22767280898797326,0.41776687323270556,-19.129184313169624,16.1410320184864
mpage_orig,aubc,16,15,1,73,0,7,30.09789493735801,19.131467964944292,-4.280435693862383,85.59111353495554
mpage_orig,hv_final,16,13,3,46,0,34,8.04140322565621,0.9413218554455427,-0.6779230820452287,31.161591266791145
