ablation,task,budget,seed,aubc,hv_final,pareto_size,consumed_budget,total_budget,n_calls,run_dir
dense_reward,bi_kp,100,2026,35875.23694568177,39207.9092302533,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2026/20260618_152933_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,100,2027,30736.01456507377,37616.48568064467,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2027/20260618_155633_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,100,2028,36919.18154515437,38862.29636332039,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2028/20260618_162544_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,100,2029,32045.739283709023,38659.86527392178,8,100.0,100.0,100,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B100/seed2029/20260618_164810_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,200,2025,36903.892161316646,39824.474946096256,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2025/20260618_171851_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,200,2026,33124.19621956897,39979.906847219914,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2026/20260619_015143_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,200,2027,33939.442280719806,38165.232668283104,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2027/20260619_024727_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,200,2028,27588.251796586337,32069.005654720364,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2028/20260619_034213_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,200,2029,30420.084528823016,33168.60060032412,10,200.0,200.0,200,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B200/seed2029/20260619_043949_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,25,2025,24962.3923585594,31202.99044819925,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2025/20260618_124854_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,25,2026,25865.050693087964,32331.313366359955,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2026/20260618_130313_BIKPEvaluation_BMAB-dense_reward
dense_reward,bi_kp,25,2027,26487.92721462508,31533.246684077472,4,25.0,25.0,25,/Users/huyvan/Downloads/GenAIThesis/week7+8+9/MPaGE/mpage_bmab/experiments/results/dense_reward/bi_kp/B25/seed2027/20260618_131634_BIKPEvaluation_BMAB-dense_reward
